<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.11.22	14:45:00	90069	90074	89982	90038	6723	23302	1
2018.11.22	14:50:00	90033	90131	90017	90120	5775	18374	1
2018.11.22	14:55:00	90125	90192	90120	90182	5983	22235	1
2018.11.22	15:00:00	90182	90197	90043	90059	7217	26105	1
2018.11.22	15:05:00	90053	90095	89992	89997	5386	19113	1
2018.11.22	15:10:00	89997	90053	89987	90033	5370	19162	1
2018.11.22	15:15:00	90033	90053	89961	90033	5287	18656	1
2018.11.22	15:20:00	90033	90089	90017	90033	4319	16806	1
2018.11.22	15:25:00	90033	90043	89987	90017	3131	12749	1
2018.11.22	15:30:00	90023	90079	89971	90069	5060	21389	1
2018.11.22	15:35:00	90074	90115	90064	90089	4224	15185	1
2018.11.22	15:40:00	90095	90136	90059	90095	4308	15497	1
2018.11.22	15:45:00	90095	90095	90043	90053	2979	11304	1
2018.11.22	15:50:00	90059	90064	90017	90059	2715	9179	1
2018.11.22	15:55:00	90064	90105	90043	90079	3087	12813	1
2018.11.22	16:00:00	90079	90131	90074	90084	3283	11255	1
2018.11.22	16:05:00	90089	90115	90074	90110	1630	6336	1
2018.11.22	16:10:00	90110	90161	90079	90084	4114	15317	1
2018.11.22	16:15:00	90089	90136	90064	90115	3332	12575	1
2018.11.22	16:20:00	90115	90223	90110	90192	6025	21457	1
2018.11.22	16:25:00	90192	90290	90172	90208	8320	30747	1
2018.11.22	16:30:00	90208	90269	90172	90228	4613	15985	1
2018.11.22	16:35:00	90233	90310	90228	90238	4405	17920	1
2018.11.22	16:40:00	90238	90244	90172	90213	4716	16991	1
2018.11.22	16:45:00	90213	90259	90208	90249	3106	11722	1
2018.11.22	16:50:00	90254	90274	90228	90238	3001	10217	1
2018.11.22	16:55:00	90244	90244	90136	90151	4719	17369	1
2018.11.22	17:00:00	90146	90208	90136	90187	3551	14664	1
2018.11.22	17:05:00	90182	90187	90141	90172	1964	7570	1
2018.11.22	17:10:00	90172	90187	90115	90131	2772	11199	1
2018.11.22	17:15:00	90131	90177	90125	90161	1985	7540	1
2018.11.22	17:20:00	90166	90172	90105	90131	2709	11529	1
2018.11.22	17:25:00	90131	90141	90064	90115	3965	15987	1
2018.11.22	17:30:00	90120	90156	90095	90115	2693	11274	1
2018.11.22	17:35:00	90120	90172	90089	90146	2737	11288	1
2018.11.22	17:40:00	90151	90182	90115	90166	2100	7675	1
2018.11.22	17:45:00	90172	90233	90141	90197	3201	12607	1
2018.11.22	17:50:00	90202	90218	90095	90197	3556	14774	1
2018.11.22	17:55:00	90197	90249	90177	90177	2833	12145	1
2018.11.22	18:00:00	90182	90218	90161	90172	1768	5604	1
2018.11.22	18:05:00	90177	90197	90115	90115	1484	6088	1
2018.11.23	09:00:00	89894	89997	89673	89725	9755	31794	1
2018.11.23	09:05:00	89725	89838	89714	89761	8958	25026	1
2018.11.23	09:10:00	89755	89771	89627	89694	9514	26655	1
2018.11.23	09:15:00	89694	89740	89663	89725	8122	23596	1
2018.11.23	09:20:00	89725	89802	89704	89771	9088	24390	1
2018.11.23	09:25:00	89771	89791	89725	89766	5117	15256	1
2018.11.23	09:30:00	89771	89822	89755	89791	6376	18878	1
2018.11.23	09:35:00	89786	89817	89766	89781	3217	9553	1
2018.11.23	09:40:00	89781	89822	89766	89791	2884	8452	1
2018.11.23	09:45:00	89791	89802	89673	89745	9165	25133	1
2018.11.23	09:50:00	89745	89833	89740	89776	7376	21569	1
2018.11.23	09:55:00	89771	89822	89725	89807	5691	16485	1
2018.11.23	10:00:00	89807	89848	89678	89689	15353	40147	1
2018.11.23	10:05:00	89689	89750	89581	89622	20287	57991	1
2018.11.23	10:10:00	89617	89827	89571	89797	20560	57616	1
2018.11.23	10:15:00	89797	89930	89776	89889	17824	50784	1
2018.11.23	10:20:00	89894	89930	89735	89745	16135	46465	1
2018.11.23	10:25:00	89750	89848	89673	89838	12046	35415	1
2018.11.23	10:30:00	89833	89874	89704	89802	11412	32162	1
2018.11.23	10:35:00	89802	89858	89617	89673	14874	44783	1
2018.11.23	10:40:00	89684	89786	89653	89694	9346	27446	1
2018.11.23	10:45:00	89689	89755	89576	89699	15527	47646	1
2018.11.23	10:50:00	89699	89755	89560	89658	16258	50144	1
2018.11.23	10:55:00	89658	89689	89416	89457	22030	64839	1
2018.11.23	11:00:00	89447	89550	89432	89488	11604	37173	1
2018.11.23	11:05:00	89483	89493	89262	89375	21598	65072	1
2018.11.23	11:10:00	89375	89463	89339	89432	9862	29073	1
2018.11.23	11:15:00	89437	89571	89422	89447	15568	48836	1
2018.11.23	11:20:00	89442	89488	89355	89380	10424	31303	1
2018.11.23	11:25:00	89380	89391	89262	89329	12258	36930	1
2018.11.23	11:30:00	89329	89344	89185	89206	15788	50740	1
2018.11.23	11:35:00	89206	89242	89041	89067	18769	61233	1
2018.11.23	11:40:00	89067	89118	88995	89067	14317	43253	1
2018.11.23	11:45:00	89067	89118	89021	89108	9543	28071	1
2018.11.23	11:50:00	89103	89139	88969	89000	14240	45564	1
2018.11.23	11:55:00	89000	89098	88944	89067	11358	38195	1
2018.11.23	12:00:00	89067	89124	89046	89093	6598	22026	1
2018.11.23	12:05:00	89093	89108	88949	89005	9456	32378	1
2018.11.23	12:10:00	89000	89031	88908	88995	9956	33421	1
2018.11.23	12:15:00	88995	89021	88908	88918	6906	24622	1
2018.11.23	12:20:00	88918	89010	88918	88980	6300	20276	1
2018.11.23	12:25:00	88980	89072	88949	88980	8650	26353	1
2018.11.23	12:30:00	88980	89103	88933	89026	14923	47871	1
2018.11.23	12:35:00	89026	89062	88918	88939	12084	38874	1
2018.11.23	12:40:00	88944	89021	88836	88928	17212	53171	1
2018.11.23	12:45:00	88923	89057	88923	89031	9645	28232	1
2018.11.23	12:50:00	89031	89036	88820	88872	13302	44353	1
2018.11.23	12:55:00	88872	89010	88851	88856	10219	32799	1
2018.11.23	13:00:00	88856	88939	88800	88903	12639	40318	1
2018.11.23	13:05:00	88897	89005	88861	89000	7124	20952	1
2018.11.23	13:10:00	89005	89062	88897	88928	11398	33863	1
2018.11.23	13:15:00	88923	88980	88877	88975	6319	18313	1
2018.11.23	13:20:00	88964	89005	88892	88908	7430	22108	1
